,x_k,f(x_k)
20,"[[ 0.00941737]
 [ 0.31710384]
 [-0.20706141]
 [ 0.17380525]
 [ 0.10605874]
 [-0.01986266]
 [-0.09121329]
 [ 0.09621239]
 [-0.17380638]
 [-0.15307425]
 [ 0.13196033]
 [ 0.19854742]
 [ 0.26134142]
 [-0.00511506]
 [-0.17741612]
 [ 0.04019564]
 [-0.11223962]
 [-0.05355382]
 [-0.11405897]
 [-0.04307249]
 [-0.10878786]
 [ 0.05298772]
 [ 0.03294882]
 [-0.02598983]
 [-0.01714914]
 [ 0.05379433]
 [ 0.04126559]
 [ 0.2796767 ]
 [ 0.26064234]
 [ 0.06737596]
 [-0.0667256 ]
 [-0.16479154]
 [ 0.08056982]
 [ 0.12242103]
 [ 0.08530941]
 [-0.08324218]
 [ 0.09457951]
 [ 0.08857195]
 [ 0.08619686]
 [-0.06572576]
 [ 0.00702426]
 [-0.11836638]]",22.284086826997836
21,"[[ 0.01060564]
 [ 0.31836576]
 [-0.20640238]
 [ 0.17509672]
 [ 0.10712831]
 [-0.01889543]
 [-0.09020892]
 [ 0.09718653]
 [-0.17297961]
 [-0.1524514 ]
 [ 0.13311882]
 [ 0.19996241]
 [ 0.26270376]
 [-0.00452829]
 [-0.17649216]
 [ 0.04095287]
 [-0.11135845]
 [-0.0525214 ]
 [-0.11320058]
 [-0.04213216]
 [-0.1080831 ]
 [ 0.05409722]
 [ 0.03401535]
 [-0.02488251]
 [-0.01617518]
 [ 0.05463514]
 [ 0.04228803]
 [ 0.28110492]
 [ 0.26181212]
 [ 0.06813923]
 [-0.06585776]
 [-0.16394489]
 [ 0.08168383]
 [ 0.12370943]
 [ 0.08631152]
 [-0.08228427]
 [ 0.0955835 ]
 [ 0.08954961]
 [ 0.08735007]
 [-0.06485128]
 [ 0.00826764]
 [-0.1172501 ]]",21.47582082628932
22,"[[ 0.01274967]
 [ 0.32663872]
 [-0.21490008]
 [ 0.18334064]
 [ 0.10864932]
 [-0.02224587]
 [-0.08751383]
 [ 0.09396667]
 [-0.18433144]
 [-0.16312688]
 [ 0.1367086 ]
 [ 0.20519762]
 [ 0.27223505]
 [-0.01197935]
 [-0.17915698]
 [ 0.03246948]
 [-0.11715437]
 [-0.05551267]
 [-0.11949493]
 [-0.04456303]
 [-0.11359474]
 [ 0.05689615]
 [ 0.03504196]
 [-0.02827021]
 [-0.01672973]
 [ 0.04927538]
 [ 0.03718746]
 [ 0.29074175]
 [ 0.26440692]
 [ 0.06404249]
 [-0.07320647]
 [-0.16674954]
 [ 0.08475006]
 [ 0.13008698]
 [ 0.08614759]
 [-0.08405418]
 [ 0.09834725]
 [ 0.08533178]
 [ 0.09012592]
 [-0.06952254]
 [ 0.01459669]
 [-0.11903969]]",20.720591261933023
23,"[[ 0.01386887]
 [ 0.32781489]
 [-0.21428454]
 [ 0.1845479 ]
 [ 0.10964462]
 [-0.02135297]
 [-0.08655639]
 [ 0.09487746]
 [-0.18355693]
 [-0.16254614]
 [ 0.1377921 ]
 [ 0.20651543]
 [ 0.27349333]
 [-0.01142985]
 [-0.17828472]
 [ 0.0331714 ]
 [-0.11632748]
 [-0.05454681]
 [-0.11869838]
 [-0.04368693]
 [-0.11293051]
 [ 0.05793094]
 [ 0.03603364]
 [-0.02722905]
 [-0.01582169]
 [ 0.05004438]
 [ 0.03814022]
 [ 0.29207587]
 [ 0.26548505]
 [ 0.06476488]
 [-0.07239871]
 [-0.16594592]
 [ 0.08579907]
 [ 0.13130169]
 [ 0.08708466]
 [-0.08315577]
 [ 0.09927059]
 [ 0.08623858]
 [ 0.09119902]
 [-0.06871032]
 [ 0.0157679 ]
 [-0.11797614]]",20.01481449426962
24,"[[ 0.01614365]
 [ 0.3354684 ]
 [-0.2222532 ]
 [ 0.19227873]
 [ 0.11093948]
 [-0.02482724]
 [-0.08345773]
 [ 0.09187676]
 [-0.19412995]
 [-0.17258315]
 [ 0.14117958]
 [ 0.21128152]
 [ 0.28196485]
 [-0.01837122]
 [-0.18051162]
 [ 0.02505252]
 [-0.12165044]
 [-0.05731578]
 [-0.12476615]
 [-0.0460444 ]
 [-0.11791916]
 [ 0.06048842]
 [ 0.03684076]
 [-0.03020709]
 [-0.01640739]
 [ 0.04451256]
 [ 0.03328185]
 [ 0.30108146]
 [ 0.26745447]
 [ 0.06120685]
 [-0.07937976]
 [-0.16819367]
 [ 0.08891322]
 [ 0.13760001]
 [ 0.08694951]
 [-0.0847147 ]
 [ 0.10140204]
 [ 0.08207985]
 [ 0.09365816]
 [-0.07323798]
 [ 0.02197763]
 [-0.11902961]]",19.35231206049999
25,"[[ 0.01720173]
 [ 0.33657096]
 [-0.22167574]
 [ 0.19341168]
 [ 0.11187021]
 [-0.0239988 ]
 [-0.08254377]
 [ 0.09273352]
 [-0.19340048]
 [-0.17203783]
 [ 0.14219659]
 [ 0.21251653]
 [ 0.28313283]
 [-0.01785317]
 [-0.17968576]
 [ 0.02570744]
 [-0.12087079]
 [-0.05640787]
 [-0.12402406]
 [-0.04522386]
 [-0.11728942]
 [ 0.06145694]
 [ 0.03776612]
 [-0.02922357]
 [-0.01555777]
 [ 0.04521959]
 [ 0.03417558]
 [ 0.3023319 ]
 [ 0.26845338]
 [ 0.06189323]
 [-0.07862381]
 [-0.16742934]
 [ 0.08990471]
 [ 0.13874894]
 [ 0.08782999]
 [-0.08386847]
 [ 0.10225531]
 [ 0.08292559]
 [ 0.09466154]
 [-0.07248026]
 [ 0.02308492]
 [-0.11801378]]",18.73035305644571
26,"[[ 0.01956666]
 [ 0.34372028]
 [-0.22918307]
 [ 0.20066893]
 [ 0.11297605]
 [-0.02756775]
 [-0.07916684]
 [ 0.08996467]
 [-0.20327183]
 [-0.1814731 ]
 [ 0.14537625]
 [ 0.21693467]
 [ 0.29069304]
 [-0.02431427]
 [-0.18156715]
 [ 0.01794802]
 [-0.12577405]
 [-0.05897662]
 [-0.12990669]
 [-0.04750043]
 [-0.12179163]
 [ 0.06377122]
 [ 0.03835131]
 [-0.03183763]
 [-0.01619685]
 [ 0.03955957]
 [ 0.02958547]
 [ 0.31073837]
 [ 0.2699001 ]
 [ 0.05879822]
 [-0.08526237]
 [-0.16924114]
 [ 0.0930381 ]
 [ 0.14493428]
 [ 0.08772613]
 [-0.08524875]
 [ 0.10384436]
 [ 0.07884376]
 [ 0.09685037]
 [-0.07688613]
 [ 0.0291629 ]
 [-0.11847265]]",18.144231393552484
27,"[[ 0.02056998]
 [ 0.34475886]
 [-0.22863925]
 [ 0.20173579]
 [ 0.11385005]
 [-0.02679578]
 [-0.07829324]
 [ 0.09077474]
 [-0.20258162]
 [-0.18095803]
 [ 0.14633386]
 [ 0.21809829]
 [ 0.29178201]
 [-0.02382318]
 [-0.18078325]
 [ 0.01856245]
 [-0.12503596]
 [-0.05811971]
 [-0.12921291]
 [-0.04672857]
 [-0.12119162]
 [ 0.06468062]
 [ 0.03921737]
 [-0.03090494]
 [-0.01539937]
 [ 0.04021267]
 [ 0.03042846]
 [ 0.31191379]
 [ 0.27082982]
 [ 0.05945238]
 [-0.08455169]
 [-0.16851283]
 [ 0.09397825]
 [ 0.14602396]
 [ 0.08855679]
 [-0.08444873]
 [ 0.10463632]
 [ 0.07963627]
 [ 0.09779246]
 [-0.07617655]
 [ 0.03021312]
 [-0.11750041]]",17.59182217912016
28,"[[ 0.02298953]
 [ 0.35149115]
 [-0.23573935]
 [ 0.20855806]
 [ 0.11479584]
 [-0.03043567]
 [-0.07473168]
 [ 0.08824164]
 [-0.21181661]
 [-0.18983005]
 [ 0.14930732]
 [ 0.2222596 ]
 [ 0.29855561]
 [-0.02983456]
 [-0.18238935]
 [ 0.01115156]
 [-0.12956349]
 [-0.06050651]
 [-0.13493932]
 [-0.04892307]
 [-0.12524152]
 [ 0.06675997]
 [ 0.03958224]
 [-0.03319596]
 [-0.01610388]
 [ 0.03446255]
 [ 0.02611666]
 [ 0.31975339]
 [ 0.27183504]
 [ 0.05675343]
 [-0.09087307]
 [-0.16997973]
 [ 0.09711066]
 [ 0.15207232]
 [ 0.08848413]
 [-0.08567593]
 [ 0.10576061]
 [ 0.07564255]
 [ 0.09974895]
 [-0.08047561]
 [ 0.03615405]
 [-0.11747846]]",17.069451897518395
29,"[[ 0.02394334]
 [ 0.35247352]
 [-0.23522546]
 [ 0.20956579]
 [ 0.11561956]
 [-0.02971355]
 [-0.07389561]
 [ 0.08901095]
 [-0.2111609 ]
 [-0.18934116]
 [ 0.15021157]
 [ 0.22336104]
 [ 0.29957493]
 [-0.02936687]
 [-0.18164355]
 [ 0.01173074]
 [-0.12886226]
 [-0.05969482]
 [-0.13428862]
 [-0.04819431]
 [-0.12466742]
 [ 0.0676164 ]
 [ 0.04039493]
 [-0.03230854]
 [-0.01535321]
 [ 0.03506842]
 [ 0.02691547]
 [ 0.32086112]
 [ 0.27270378]
 [ 0.05737844]
 [-0.09020234]
 [-0.1692845 ]
 [ 0.09800467]
 [ 0.15310828]
 [ 0.08927053]
 [-0.08491715]
 [ 0.10649857]
 [ 0.07638823]
 [ 0.10063673]
 [-0.0798088 ]
 [ 0.03715299]
 [-0.11654629]]",16.57543951600893
